episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
1,155,8.662082916444096,0,0,0.998159375,0.0
2,209,42.8567115008416,0,0,0.9956775,0.0
3,171,69.16410908508826,28,1,0.993646875,0.0
4,270,43.94221552255423,0,0,0.990440625,0.0
5,64,0.1401729334934041,0,0,0.989680625,0.0
6,95,0.8682796409161471,0,0,0.9885525,0.0
7,82,1.3347265213455026,0,0,0.98757875,0.0
8,164,29.907243993187578,0,0,0.98563125,0.0
9,110,-0.2557540384008279,0,0,0.984325,0.0
10,121,0.6233259081424363,0,0,0.982888125,0.0
11,95,10.207725187758953,0,0,0.98176,0.0
12,94,9.073994499223481,0,0,0.98064375,0.0
13,278,11.915119937983611,0,0,0.9773425,0.0
14,89,0.35316814654178064,0,0,0.976285625,0.0
15,208,38.785411699434036,0,0,0.973815625,0.0
16,193,39.54619226793382,0,0,0.97152375,0.0
17,87,2.0543647911202925,0,0,0.970490625,0.0
18,271,86.43632777858312,28,1,0.9672725,0.0
19,192,28.5513897225198,0,0,0.9649925,0.0
20,166,34.4713307641747,0,0,0.96302125,0.0
21,85,-1.4858560849338915,0,0,0.962011875,0.0
22,300,85.59734286882224,17,1,0.958449375,0.0
23,215,78.77045705718155,28,1,0.95589625,0.0
24,87,6.093845604885512,0,0,0.954863125,0.0
25,132,16.88834937578659,0,0,0.953295625,0.0
26,160,5.103125687195396,0,0,0.951395625,0.0
27,165,7.040295497040698,0,0,0.94943625,0.0
28,71,-1.9580264557601774,0,0,0.948593125,0.0
29,105,12.23636860425702,0,0,0.9473462500000001,0.0
30,300,58.58124478880496,0,0,0.94378375,0.0
31,300,71.36584321832208,0,0,0.94022125,0.0518731434696487
32,229,42.868250669837764,0,0,0.937501875,0.03289617604258832
33,114,12.732071557625337,0,0,0.936148125,0.02755284072573934
34,153,33.36136368412461,0,0,0.9343312500000001,0.028049474208481806
35,220,86.41147238159304,28,1,0.93171875,0.030618460837815126
36,190,75.0386487338163,30,1,0.9294625,0.030458535625917934
37,256,51.077271770829,0,0,0.9264225,0.028209517688765118
38,208,49.23988614311448,0,0,0.9239525,0.024438265589056894
39,165,34.076223797317525,0,0,0.921993125,0.02509297042040888
40,172,21.04605365192767,0,0,0.919950625,0.023356310046564917
41,255,75.9084929399803,15,1,0.9169225,0.023718948475902387
42,255,86.58944131261956,28,1,0.913894375,0.02738237236398181
43,57,-0.9553743369521115,0,0,0.9132175,0.03168120287080998
