episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
1,149,9.693729365907561,0,0,0.998230625,0.0
2,174,52.812703088188705,0,0,0.996164375,0.0
3,158,65.6833354568733,28,1,0.994288125,0.0
4,299,80.2772629890083,27,1,0.9907375,0.0
5,94,2.7509482186259504,0,0,0.98962125,0.0
6,85,0.876680846818366,0,0,0.988611875,0.0
7,96,0.24199219837722818,0,0,0.987471875,0.0
8,173,22.370405415845468,0,0,0.9854175,0.0
9,229,22.026289045666775,0,0,0.982698125,0.0
10,245,48.90575663897433,0,0,0.97978875,0.0
11,133,12.68737988373718,0,0,0.978209375,0.0
12,143,20.500868466215977,0,0,0.97651125,0.0
13,82,-1.0859645229430863,0,0,0.9755375,0.0
14,198,22.211175096358645,0,0,0.97318625,0.0
15,226,53.983195089888,0,0,0.9705025,0.0
16,234,65.85800697126663,12,1,0.96772375,0.0
17,300,73.80447518215229,0,0,0.96416125,0.0
18,195,72.90418130215346,25,1,0.961845625,0.0
19,149,10.329239845489711,0,0,0.96007625,0.0
20,143,25.929707817600345,0,0,0.958378125,0.0
21,87,-1.525625570274888,0,0,0.957345,0.0
22,91,3.9172063346305386,0,0,0.9562643749999999,0.0
23,300,107.39629292335636,0,0,0.952701875,0.0
24,107,7.837049877922599,0,0,0.95143125,0.0
25,111,11.07697498770493,0,0,0.950113125,0.0
26,97,3.7281720655678914,0,0,0.94896125,0.0
27,98,2.2008250618380965,0,0,0.9477975,0.0
28,71,-2.5166186917602786,0,0,0.946954375,0.0
29,104,12.047987325961696,0,0,0.945719375,0.0
30,174,15.053249370938941,0,0,0.943653125,0.0
31,213,41.85123441220592,0,0,0.94112375,0.0
32,188,15.016655400805693,0,0,0.93889125,0.04288861330053737
33,300,71.23175518785166,0,0,0.93532875,0.031861353361358244
34,142,38.2211664786286,0,0,0.9336425,0.030221149166324505
35,300,87.11227991764194,13,1,0.93008,0.027680621319450437
36,152,38.615930729004845,0,0,0.928275,0.026926749129320103
37,190,32.4418033321444,0,0,0.92601875,0.025154547543436486
38,201,80.64497480893095,29,1,0.923631875,0.02677723950073957
39,149,10.324466997819371,0,0,0.9218625,0.026483464531362955
40,69,0.41719698511783765,0,0,0.921043125,0.026670871005542038
41,99,-1.0366200864439112,0,0,0.9198675000000001,0.02550861980963611
42,286,63.67613701478489,1,1,0.91647125,0.02705628490600559
43,60,-0.7795313050535153,0,0,0.91575875,0.021683320903684945
44,112,11.191422405107964,0,0,0.91442875,0.029667034172494562
45,300,58.48623737367619,0,0,0.91086625,0.02585544627547885
46,234,7.124442509910328,0,0,0.9080875,0.027593366168419488
47,121,3.943132456034175,0,0,0.906650625,0.024976526204234926
48,91,3.5658022209580196,0,0,0.90557,0.02491864902261583
49,171,19.854141901094756,0,0,0.903539375,0.028531230114705382
50,73,0.549042995644978,0,0,0.9026725,0.02158078198538047
51,35,-3.411633941156668,0,0,0.902256875,0.02606403584192906
52,63,0.1109149219326806,0,0,0.90150875,0.02459235970366983
53,300,51.42859366518237,0,0,0.89794625,0.026725791717957085
54,162,35.924893457718554,0,0,0.8960224999999999,0.021750437626816378
55,300,103.22243939172023,29,1,0.89246,0.026976414683740586
56,55,-1.221411121554321,0,0,0.891806875,0.027379940418441863
57,89,3.2323153758270884,0,0,0.89075,0.02651942780586692
58,176,34.43214314813937,0,0,0.88866,0.024733077781671785
59,118,2.622173691799971,0,0,0.88725875,0.026316629288623394
60,149,6.880304516856181,0,0,0.885489375,0.02941823256359867
61,78,4.191797319145645,0,0,0.884563125,0.021861059753857076
62,57,-0.28384290438631954,0,0,0.88388625,0.030201492575814195
63,74,1.7351811819521767,0,0,0.8830075000000001,0.02636900925584062
64,300,70.77015705158124,0,0,0.879445,0.029168252946886544
65,209,18.579125525887672,0,0,0.8769631250000001,0.025308619871062702
66,234,51.06614130242087,0,0,0.874184375,0.027109908976325463
67,216,88.30854242909136,27,1,0.871619375,0.027723511625447794
68,77,3.150382693137799,0,0,0.8707050000000001,0.028999410890187923
69,116,8.713941300834895,0,0,0.8693275,0.029105359034066827
70,300,141.7165072595033,49,1,0.865765,0.027334882505238058
71,123,16.656745201688132,0,0,0.864304375,0.029383785963035758
72,124,0.3966083735775223,0,0,0.862831875,0.026834618446657493
73,300,58.91754790661706,0,0,0.859269375,0.026107473340428743
74,62,-1.6632600054065492,0,0,0.858533125,0.025574291857229845
75,185,55.0290211945988,13,1,0.85633625,0.03075283127207611
76,128,8.719171883791875,0,0,0.85481625,0.0280702176005434
77,181,24.691106158122683,0,0,0.852666875,0.03112152507219937
78,236,80.61715895336083,27,1,0.849864375,0.02787167070555832
79,104,2.30359786411319,0,0,0.848629375,0.026051129572666608
80,45,-1.8927608350217868,0,0,0.848095,0.028112814684088033
81,212,23.300885488734902,0,0,0.8455775,0.03049279709416881
82,247,41.83936192573152,0,0,0.842644375,0.033348818268129216
83,167,14.167857444843026,0,0,0.84066125,0.0325801214342658
84,86,-1.1971116137824618,0,0,0.8396399999999999,0.031412614628585966
85,102,12.133697925458112,0,0,0.8384287500000001,0.032317097716526515
86,189,41.690539068188244,0,0,0.836184375,0.029826228967596773
87,213,24.13974579948906,0,0,0.833655,0.034108273374537625
88,144,9.050643657626491,0,0,0.831945,0.0355782197503787
89,175,5.021278333817074,0,0,0.829866875,0.03413641890244824
90,141,6.387317206069881,0,0,0.8281925,0.032799954569059694
91,110,6.588256712681274,0,0,0.82688625,0.03290632066359236
