episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,49,1,0.16333333333333333,0.5284349428860432
2,300,177,1,0.59,0.9933834817975725
3,300,212,1,0.7066666666666667,1.1283394135293947
4,300,0,0,0.0,0.16417925250464868
5,300,0,0,0.0,0.2220970102758962
6,300,25,1,0.08333333333333333,0.41361962653322004
7,300,0,0,0.0,0.3423038071927549
8,300,128,1,0.4266666666666667,0.8502426937387094
9,300,0,0,0.0,0.20716488873787794
10,300,0,0,0.0,0.24068303080372525
11,300,174,1,0.58,1.0093544189488597
12,300,116,1,0.38666666666666666,0.8169291820571712
13,300,0,0,0.0,0.22153973159930743
14,300,0,0,0.0,0.2003556535390632
15,300,56,1,0.18666666666666668,0.5090749393379795
16,300,0,0,0.0,0.3288387900081679
17,300,0,0,0.0,0.2195924046036342
18,300,62,1,0.20666666666666667,0.615020866592683
19,300,125,1,0.4166666666666667,0.8045826874447791
20,300,111,1,0.37,0.80049740853126
21,300,0,0,0.0,0.2925918259333543
22,300,90,1,0.3,0.6705022258813201
23,300,25,1,0.08333333333333333,0.4412957808596595
24,300,94,1,0.31333333333333335,0.7140990171142344
25,300,188,1,0.6266666666666667,1.0600809612335047
26,300,82,1,0.2733333333333333,0.6377118125708018
27,300,0,0,0.0,0.3345901941961891
28,300,5,1,0.016666666666666666,0.32929866961639687
29,300,210,1,0.7,1.1075577365116314
30,300,188,1,0.6266666666666667,1.0406747168367922
31,300,0,0,0.0,0.2443597267450345
32,300,215,1,0.7166666666666667,1.1171152864030724
33,300,115,1,0.38333333333333336,0.7421673751494368
34,300,238,1,0.7933333333333333,1.2134344164054278
35,300,138,1,0.46,0.8625515483326052
36,300,203,1,0.6766666666666666,1.077129464537742
37,300,45,1,0.15,0.47054588976055345
38,300,96,1,0.32,0.7006689924484211
39,300,103,1,0.3433333333333333,0.741713749077223
40,300,32,1,0.10666666666666667,0.4520428638269749
41,300,0,0,0.0,0.26383911675278476
42,300,27,1,0.09,0.4027360190069803
43,300,0,0,0.0,0.30373327450648957
44,300,195,1,0.65,1.0854937143840528
45,300,83,1,0.27666666666666667,0.649175457189305
46,300,0,0,0.0,0.26302539212395537
47,300,46,1,0.15333333333333332,0.4835448816915633
48,300,140,1,0.4666666666666667,0.8521967795128088
49,300,150,1,0.5,0.8621321043575972
50,300,45,1,0.15,0.48666317505403184
51,300,0,0,0.0,0.229702087857624
52,300,4,1,0.013333333333333334,0.3695725799619918
53,300,264,1,0.88,1.2845069064327688
54,300,204,1,0.68,1.089759408717345
55,300,53,1,0.17666666666666667,0.4775282221575321
56,300,110,1,0.36666666666666664,0.710999496130811
57,300,41,1,0.13666666666666666,0.4889539293857266
58,300,122,1,0.4066666666666667,0.8193766862334949
59,300,96,1,0.32,0.7076163518324099
60,300,120,1,0.4,0.8414908943011136
61,300,127,1,0.42333333333333334,0.8238913806711493
62,300,11,1,0.03666666666666667,0.4014007835070766
63,300,61,1,0.20333333333333334,0.5608139078539172
64,300,0,0,0.0,0.29368402854334075
65,300,242,1,0.8066666666666666,1.2063137990519115
66,300,0,0,0.0,0.25970019315581466
67,300,145,1,0.48333333333333334,0.8917825398337489
68,300,146,1,0.4866666666666667,0.8550277177905942
69,300,98,1,0.32666666666666666,0.6974204646353929
70,300,125,1,0.4166666666666667,0.8363164339602792
71,300,198,1,0.66,1.090010857627865
72,300,27,1,0.09,0.40333354376101993
73,300,129,1,0.43,0.8096409685616619
74,300,0,0,0.0,0.2406978256472656
75,300,242,1,0.8066666666666666,1.1804362563922914
76,300,76,1,0.25333333333333335,0.5638891807759061
77,300,32,1,0.10666666666666667,0.4160748673488446
78,300,160,1,0.5333333333333333,0.9502110781083112
79,300,25,1,0.08333333333333333,0.3646367415803608
80,300,41,1,0.13666666666666666,0.4820301181453321
81,300,183,1,0.61,1.0238151092674879
82,300,0,0,0.0,0.27271159972946823
83,300,157,1,0.5233333333333333,0.9298124613907296
84,300,74,1,0.24666666666666667,0.5585576810701329
85,300,232,1,0.7733333333333333,1.1774567632649064
86,300,144,1,0.48,0.8450360851023256
87,300,117,1,0.39,0.7808565933366987
88,300,118,1,0.3933333333333333,0.7850157710081908
89,300,77,1,0.25666666666666665,0.6340941562350084
90,300,144,1,0.48,0.8709502240273194
91,300,158,1,0.5266666666666666,0.9311369750795347
92,300,122,1,0.4066666666666667,0.7578486878326723
93,300,0,0,0.0,0.2670904111629029
94,300,165,1,0.55,0.975595699816365
95,300,152,1,0.5066666666666667,0.8705763258793725
96,300,83,1,0.27666666666666667,0.6170628735437363
97,300,119,1,0.39666666666666667,0.7290881158601853
98,300,19,1,0.06333333333333334,0.3614100357466126
99,300,137,1,0.45666666666666667,0.8409501862303919
100,300,85,1,0.2833333333333333,0.5932981682630278
101,300,83,1,0.27666666666666667,0.5839100427815916
102,300,231,1,0.77,1.197558703132822
103,300,127,1,0.42333333333333334,0.7876997380438678
104,300,86,1,0.2866666666666667,0.6364446348994787
105,300,132,1,0.44,0.8013639880910907
106,300,12,1,0.04,0.3173105845551726
107,300,111,1,0.37,0.7038150636502031
108,300,120,1,0.4,0.7431977201028211
109,300,119,1,0.39666666666666667,0.7503370663891132
110,300,66,1,0.22,0.5250819963506292
111,300,234,1,0.78,1.151469497536951
112,300,194,1,0.6466666666666666,1.0539444893599426
113,300,195,1,0.65,1.0606380994611933
114,300,111,1,0.37,0.7116181218940958
115,300,117,1,0.39,0.7335360514416289
116,300,185,1,0.6166666666666667,1.028931088617996
117,300,27,1,0.09,0.3919444116435089
118,300,131,1,0.43666666666666665,0.7767319818485198
119,300,19,1,0.06333333333333334,0.3259546575781255
120,300,81,1,0.27,0.6023900945191842
121,300,164,1,0.5466666666666666,0.9237466485347746
122,300,111,1,0.37,0.7124465682818995
123,300,138,1,0.46,0.8001706839327817
124,300,143,1,0.4766666666666667,0.8232685112474606
125,300,71,1,0.23666666666666666,0.5438764992849165
126,300,258,1,0.86,1.2585102764355864
127,300,238,1,0.7933333333333333,1.2283081826274362
128,300,113,1,0.37666666666666665,0.7378329609105964
129,300,198,1,0.66,1.0692412691474684
130,300,165,1,0.55,0.9543494512550826
131,300,129,1,0.43,0.7810456848588688
132,300,181,1,0.6033333333333334,1.0297153679769835
133,300,54,1,0.18,0.47694293473282406
134,300,29,1,0.09666666666666666,0.3272543304670113
135,300,155,1,0.5166666666666667,0.8903093769074667
136,300,217,1,0.7233333333333334,1.1491195548661135
137,300,91,1,0.30333333333333334,0.6242233155538759
138,300,174,1,0.58,0.9617242991565573
139,300,191,1,0.6366666666666667,1.057636678485204
140,300,133,1,0.44333333333333336,0.8061517268202962
141,300,119,1,0.39666666666666667,0.7008994234545638
142,300,268,1,0.8933333333333333,1.3251115007646517
143,300,194,1,0.6466666666666666,1.080212159931299
144,300,143,1,0.4766666666666667,0.8000603882041624
145,300,166,1,0.5533333333333333,0.9285730677601276
146,300,99,1,0.33,0.6414356210157447
147,300,64,1,0.21333333333333335,0.4721407192055409
148,300,154,1,0.5133333333333333,0.8826792878955174
149,300,242,1,0.8066666666666666,1.2309391251035664
150,300,269,1,0.8966666666666666,1.3057615632273953
151,300,205,1,0.6833333333333333,1.0916105103620874
152,300,225,1,0.75,1.1702920437079545
153,300,68,1,0.22666666666666666,0.5826532729788696
154,300,162,1,0.54,0.9171713222899596
155,300,243,1,0.81,1.2309821686255604
156,300,234,1,0.78,1.193927884143659
157,300,234,1,0.78,1.1802993168034694
158,300,44,1,0.14666666666666667,0.44990533451130543
159,300,131,1,0.43666666666666665,0.7722016570200141
160,300,156,1,0.52,0.8743787652933533
161,300,201,1,0.67,1.0943802218172463
162,300,262,1,0.8733333333333333,1.2883067336248029
163,300,132,1,0.44,0.7872859641538533
164,300,209,1,0.6966666666666667,1.1148256300939567
165,300,181,1,0.6033333333333334,0.984821562614287
166,300,109,1,0.36333333333333334,0.7506141099498861
167,300,234,1,0.78,1.1811552545913593
168,300,201,1,0.67,1.0736032326837115
169,300,210,1,0.7,1.1149857431409065
170,300,106,1,0.35333333333333333,0.6900405528169047
171,300,245,1,0.8166666666666667,1.2257029791899332
172,300,229,1,0.7633333333333333,1.2019618351271724
173,300,244,1,0.8133333333333334,1.2396008411744524
174,300,128,1,0.4266666666666667,0.7468476247375487
175,300,174,1,0.58,0.9719610576471619
176,300,119,1,0.39666666666666667,0.729192387464434
177,300,103,1,0.3433333333333333,0.7353747177878369
178,300,120,1,0.4,0.7175635970041672
179,300,131,1,0.43666666666666665,0.7449925115987581
180,300,181,1,0.6033333333333334,0.9532900539216572
181,300,150,1,0.5,0.8277767925995693
182,300,242,1,0.8066666666666666,1.2056706848489631
183,300,123,1,0.41,0.7323671193351383
184,300,267,1,0.89,1.3254305865575626
185,300,228,1,0.76,1.1674352024758923
186,300,162,1,0.54,0.9304328948112403
187,300,218,1,0.7266666666666667,1.1479359682952999
188,300,241,1,0.8033333333333333,1.2209575776302475
189,300,182,1,0.6066666666666667,1.0071487139245086
190,300,199,1,0.6633333333333333,1.0314685727829276
191,300,144,1,0.48,0.8218871376360639
192,300,174,1,0.58,0.955745924470351
193,300,211,1,0.7033333333333334,1.1020692892719206
194,300,140,1,0.4666666666666667,0.8166219619750984
195,300,275,1,0.9166666666666666,1.3281278395911995
196,300,157,1,0.5233333333333333,0.8558729269583385
197,300,92,1,0.30666666666666664,0.6006308218111932
198,300,175,1,0.5833333333333334,0.934964373773193
199,300,200,1,0.6666666666666666,1.0422631085571998
200,300,195,1,0.65,1.0297840595199337
201,300,90,1,0.3,0.5832116745824837
202,300,240,1,0.8,1.1809209462023122
203,300,178,1,0.5933333333333334,0.9531517334445082
204,300,196,1,0.6533333333333333,1.0271518015999948
205,300,177,1,0.59,0.9336711030640452
206,300,171,1,0.57,0.931398941555592
207,300,243,1,0.81,1.1929772314904858
208,300,131,1,0.43666666666666665,0.7726412152505688
209,300,181,1,0.6033333333333334,0.9955507948305525
210,300,185,1,0.6166666666666667,0.9931747364419702
211,300,163,1,0.5433333333333333,0.8842466110138409
212,300,192,1,0.64,1.0245181475642624
213,300,189,1,0.63,1.0248518076998252
214,300,176,1,0.5866666666666667,1.0275032156553725
215,300,139,1,0.4633333333333333,0.7921301986903492
216,300,106,1,0.35333333333333333,0.7503557182370921
217,300,99,1,0.33,0.6233035238264009
218,300,146,1,0.4866666666666667,0.8148424239551715
219,300,224,1,0.7466666666666667,1.139945832413953
220,300,188,1,0.6266666666666667,0.9899928874043921
221,300,238,1,0.7933333333333333,1.1734241401513974
222,300,178,1,0.5933333333333334,0.9726341755381651
223,300,157,1,0.5233333333333333,0.8735631645334462
224,300,211,1,0.7033333333333334,1.1027955783305041
225,300,211,1,0.7033333333333334,1.1048220951357646
226,300,189,1,0.63,1.0011510234390444
227,300,223,1,0.7433333333333333,1.1533861579883502
228,300,154,1,0.5133333333333333,0.8577184223526065
229,300,158,1,0.5266666666666666,0.8874010245967632
230,300,276,1,0.92,1.3601766223582579
231,300,190,1,0.6333333333333333,1.0238532895299846
232,300,206,1,0.6866666666666666,1.0636042921847713
233,300,275,1,0.9166666666666666,1.333999095975157
234,300,182,1,0.6066666666666667,0.9593598231747766
235,300,194,1,0.6466666666666666,1.0037931555096336
236,300,209,1,0.6966666666666667,1.0602066260163798
237,300,213,1,0.71,1.0800479574860566
238,300,210,1,0.7,1.067997359248337
239,300,281,1,0.9366666666666666,1.358230764074297
240,300,160,1,0.5333333333333333,0.873468125148474
241,300,256,1,0.8533333333333334,1.2780384913017884
242,300,263,1,0.8766666666666667,1.3058271967846125
243,300,194,1,0.6466666666666666,1.0042728299838144
244,300,154,1,0.5133333333333333,0.9515142236177164
245,300,249,1,0.83,1.2168985561088983
246,300,270,1,0.9,1.3126887296143428
247,300,188,1,0.6266666666666667,0.9691675780331033
248,300,216,1,0.72,1.1111167694682762
249,300,133,1,0.44333333333333336,0.7564991055419886
250,300,263,1,0.8766666666666667,1.2692219624253414
251,300,223,1,0.7433333333333333,1.1341620080828252
252,300,165,1,0.55,0.9017203228953472
253,300,266,1,0.8866666666666667,1.2961411410761838
254,300,223,1,0.7433333333333333,1.1337086340242004
255,300,214,1,0.7133333333333334,1.087032618478913
256,300,138,1,0.46,0.8306471277209516
257,300,205,1,0.6833333333333333,1.062679497690235
258,300,227,1,0.7566666666666667,1.159617642597521
259,300,156,1,0.52,0.8845847180074028
260,300,172,1,0.5733333333333334,0.9250236519033558
261,300,230,1,0.7666666666666667,1.188125534967225
262,300,186,1,0.62,0.9820223530513643
263,300,218,1,0.7266666666666667,1.1126987143330231
264,300,186,1,0.62,0.9981535966141583
265,300,238,1,0.7933333333333333,1.2085148450971415
266,300,265,1,0.8833333333333333,1.3053076513810449
267,300,243,1,0.81,1.18570393888198
268,300,19,1,0.06333333333333334,0.4972848750255923
269,300,176,1,0.5866666666666667,1.0071375825846496
270,300,234,1,0.78,1.1851033538767881
271,300,216,1,0.72,1.060397214035404
272,300,229,1,0.7633333333333333,1.1633689666967217
273,300,217,1,0.7233333333333334,1.146219127381968
274,300,139,1,0.4633333333333333,0.8266260954072282
275,300,118,1,0.3933333333333333,0.7381038738447194
276,300,192,1,0.64,0.9822323019895532
277,300,96,1,0.32,0.7318826687326019
278,300,116,1,0.38666666666666666,0.7391783774611816
279,300,234,1,0.78,1.1568660805477509
280,300,20,1,0.06666666666666667,0.41798093020994964
281,300,160,1,0.5333333333333333,0.8643273547726696
282,300,103,1,0.3433333333333333,0.8068576356996302
283,300,138,1,0.46,0.774531994241385
284,300,199,1,0.6633333333333333,1.0067737181862793
285,300,227,1,0.7566666666666667,1.14122098828022
286,300,145,1,0.48333333333333334,0.8138142861867125
287,300,142,1,0.47333333333333333,0.7940567102323367
288,300,215,1,0.7166666666666667,1.0618350474750804
289,300,153,1,0.51,0.8254722068530992
290,300,240,1,0.8,1.1890392161988308
291,300,242,1,0.8066666666666666,1.2094027737029625
292,300,169,1,0.5633333333333334,0.9120800352776596
293,300,229,1,0.7633333333333333,1.1419810592570556
294,300,146,1,0.4866666666666667,0.8493262046756446
295,300,234,1,0.78,1.2023383351774566
296,300,209,1,0.6966666666666667,1.0720518785070365
297,300,252,1,0.84,1.258815897339011
298,300,209,1,0.6966666666666667,1.0980164815026792
299,300,179,1,0.5966666666666667,0.9821593020605477
300,300,197,1,0.6566666666666666,1.048162941920606
301,300,220,1,0.7333333333333333,1.127798110929063
302,300,183,1,0.61,0.9701851875289128
303,300,260,1,0.8666666666666667,1.2726926917339205
304,300,244,1,0.8133333333333334,1.208266725089431
305,300,187,1,0.6233333333333333,0.9946229874048385
306,300,261,1,0.87,1.2979184200784248
307,300,198,1,0.66,1.0177816995919162
308,300,172,1,0.5733333333333334,0.9384133764941981
309,300,236,1,0.7866666666666666,1.1824387110868424
310,300,228,1,0.76,1.110995493246446
311,300,231,1,0.77,1.1711051773182595
312,300,221,1,0.7366666666666667,1.0892837346333688
313,300,192,1,0.64,1.0038783398414421
314,300,168,1,0.56,0.8732958040080264
315,300,209,1,0.6966666666666667,1.0646395801002644
316,300,149,1,0.49666666666666665,0.782008940159692
317,300,160,1,0.5333333333333333,0.8632875200965553
318,300,177,1,0.59,0.934368223092089
319,300,266,1,0.8866666666666667,1.3294159907238599
320,300,232,1,0.7733333333333333,1.1714016671492917
321,300,233,1,0.7766666666666666,1.1652894250352592
322,300,214,1,0.7133333333333334,1.1327771152049981
323,300,239,1,0.7966666666666666,1.2002400081125897
324,300,200,1,0.6666666666666666,1.114825404120824
325,300,212,1,0.7066666666666667,1.1079125555610707
326,300,272,1,0.9066666666666666,1.333839155625661
327,300,229,1,0.7633333333333333,1.144480122903287
328,300,205,1,0.6833333333333333,1.0037396472031013
329,300,218,1,0.7266666666666667,1.1338367344582565
330,300,167,1,0.5566666666666666,0.8931506174911373
331,300,235,1,0.7833333333333333,1.1712712501224278
332,300,272,1,0.9066666666666666,1.3138034921274353
333,300,185,1,0.6166666666666667,0.9456443915584911
334,300,247,1,0.8233333333333334,1.1857513775083668
335,300,232,1,0.7733333333333333,1.1777628032445242
336,300,192,1,0.64,0.9900520439361484
337,300,288,1,0.96,1.3254305141434823
338,300,224,1,0.7466666666666667,1.0778107613953425
339,300,239,1,0.7966666666666666,1.149611565055737
340,300,201,1,0.67,0.9858045563127371
341,300,130,1,0.43333333333333335,0.7991487848414334
342,300,226,1,0.7533333333333333,1.126245935241593
343,300,105,1,0.35,0.7024963244569613
344,300,230,1,0.7666666666666667,1.1237802960489676
345,300,210,1,0.7,1.1022769896155702
346,300,267,1,0.89,1.328395504505086
347,300,230,1,0.7666666666666667,1.160562129482221
348,300,214,1,0.7133333333333334,1.1545264463029279
349,300,219,1,0.73,1.1314739845229178
350,300,151,1,0.5033333333333333,0.818130222522205
351,300,220,1,0.7333333333333333,1.1000633602229268
352,300,240,1,0.8,1.1672455043074015
353,300,194,1,0.6466666666666666,0.996729133748928
354,300,135,1,0.45,0.7704802638988225
355,300,204,1,0.68,1.041016095638581
356,300,246,1,0.82,1.1934458301902466
357,300,215,1,0.7166666666666667,1.115513842164634
358,300,207,1,0.69,1.028164396667706
359,300,210,1,0.7,1.0597264496282757
360,300,156,1,0.52,0.8336235983986158
361,300,249,1,0.83,1.2293432655720975
362,300,257,1,0.8566666666666667,1.2579550670298847
363,300,188,1,0.6266666666666667,0.9556444199154057
364,300,277,1,0.9233333333333333,1.342777668965589
365,300,194,1,0.6466666666666666,0.9831189983852058
366,300,255,1,0.85,1.262378083207121
367,300,214,1,0.7133333333333334,1.0652094971577768
368,300,202,1,0.6733333333333333,1.0699117002400556
369,300,190,1,0.6333333333333333,0.9877902133066618
370,300,172,1,0.5733333333333334,0.9575299715401286
371,300,251,1,0.8366666666666667,1.2306900858972865
372,300,224,1,0.7466666666666667,1.1087342901713002
373,300,185,1,0.6166666666666667,0.969795058208875
374,300,266,1,0.8866666666666667,1.2852717612155524
375,300,198,1,0.66,1.0184774877502427
376,300,252,1,0.84,1.2336178783516625
377,300,202,1,0.6733333333333333,1.0849719769496644
378,300,155,1,0.5166666666666667,0.8714424450407056
379,300,228,1,0.76,1.1656582350080715
380,300,237,1,0.79,1.229272038802294
381,300,184,1,0.6133333333333333,0.9594381594795258
382,300,246,1,0.82,1.2311410139817536
383,300,251,1,0.8366666666666667,1.2553244255946439
384,300,225,1,0.75,1.1477999006838797
385,300,246,1,0.82,1.208771483087023
386,300,213,1,0.71,1.1079834086554012
387,300,213,1,0.71,1.0684167412333863
388,300,217,1,0.7233333333333334,1.1338116902236954
389,300,260,1,0.8666666666666667,1.2463275342431772
390,300,202,1,0.6733333333333333,1.0399892351789832
391,300,282,1,0.94,1.3321572951157095
392,300,272,1,0.9066666666666666,1.3175090410312351
393,300,242,1,0.8066666666666666,1.2289458415494714
394,300,225,1,0.75,1.1355965006155986
395,300,266,1,0.8866666666666667,1.306272353474863
396,300,243,1,0.81,1.2125959338609407
