episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
109,107,1.350696290019112,0,0,0.7945268750000001,0.05791243281493956
110,48,-2.3895024101028857,0,0,0.793956875,0.06043105207694074
111,160,28.927526438778948,0,0,0.792056875,0.05571026771795005
112,98,10.7366166791331,0,0,0.790893125,0.055000251615229916
113,160,12.358761065342378,0,0,0.788993125,0.05295033910078928
114,300,59.94155280765453,0,0,0.785430625,0.054604817690948645
115,62,-0.706583545740874,0,0,0.784694375,0.05837848521168194
116,109,8.263108849182874,0,0,0.7834,0.05573431549405833
117,214,52.20043400248498,0,0,0.78085875,0.06074477990688843
118,97,1.4776219410242675,0,0,0.779706875,0.05710970475962482
119,30,-3.3969827560873935,0,0,0.779350625,0.05387465944513679
120,300,91.76274941711523,27,1,0.775788125,0.05836789864425858
121,249,71.31412696736459,21,1,0.77283125,0.06285019387232971
122,53,-1.6149867974648333,0,0,0.772201875,0.06857303062559299
123,126,1.9128930694032178,0,0,0.770705625,0.06697320481318803
124,111,1.2599923286264536,0,0,0.7693875,0.06640629542504882
125,300,64.44083193922224,0,0,0.765825,0.06647125175222754
126,222,38.08515742668464,0,0,0.7631887500000001,0.06573177058971277
127,117,14.910638748196586,0,0,0.7617993750000001,0.07087897420184225
128,78,-0.420372222384219,0,0,0.760873125,0.06532156720566444
129,300,46.01484166520551,0,0,0.757310625,0.06580034085859855
130,203,23.448504872786433,0,0,0.7549,0.06789547241673681
131,66,-0.03994151720569672,0,0,0.75411625,0.06794628859356497
132,112,13.093277180100293,0,0,0.75278625,0.07057758951227047
133,137,0.06792830586078757,0,0,0.7511593750000001,0.06505302213349917
134,30,-3.3693731319462756,0,0,0.750803125,0.06902823590983947
135,300,73.87319702884821,0,0,0.7472406250000001,0.06737379615195095
136,300,99.88535568137836,25,1,0.743678125,0.06923045984779795
137,75,-1.0038182746149058,0,0,0.7427875,0.07083303635319074
138,147,5.136823864609172,0,0,0.7410418750000001,0.06314286935542311
139,168,23.330579333479328,0,0,0.7390468750000001,0.0693755209933789
140,217,6.3192106718542735,0,0,0.73647,0.07538634025350144
141,45,-1.9837564598824557,0,0,0.735935625,0.07056371399925815
142,217,69.3046732936313,29,1,0.7333587500000001,0.07296326303262315
143,127,18.208511134801782,0,0,0.731850625,0.07711997255682945
144,102,2.7825678353815686,0,0,0.730639375,0.07614667120152245
145,229,34.55713569538949,0,0,0.72792,0.07503504639564643
146,66,-1.7480992345016415,0,0,0.72713625,0.07543283463879065
147,32,-3.271226608616587,0,0,0.72675625,0.08290020085405558
148,300,98.92171817887412,28,1,0.7231937500000001,0.08206027647480368
149,99,11.303096206730217,0,0,0.722018125,0.08200207277379855
150,128,19.751835842489932,0,0,0.720498125,0.08500417455798015
151,92,5.56078013317347,0,0,0.719405625,0.08207594692383123
152,129,19.413595789658466,0,0,0.7178737500000001,0.07772002565537313
153,122,9.63458717876328,0,0,0.7164250000000001,0.08527060268355198
154,151,28.04805168910423,0,0,0.714631875,0.08242131329283414
155,198,75.99621399017035,29,1,0.712280625,0.08514043861868406
156,135,14.706440445903308,0,0,0.7106775000000001,0.08902900966781158
157,188,67.66440714546444,25,1,0.708445,0.08378102381693874
158,60,-1.4361698661608133,0,0,0.7077325000000001,0.088783882992963
159,102,2.239016585870182,0,0,0.70652125,0.08913903628640316
160,79,3.591901007190332,0,0,0.705583125,0.08574456297144105
161,186,44.84476576538116,0,0,0.703374375,0.0907841286451746
162,155,62.49102926220227,25,1,0.7015337500000001,0.09551248281232773
163,175,10.65012064168527,0,0,0.699455625,0.09491553221430098
164,116,11.446708185792467,0,0,0.698078125,0.09415093600621512
165,100,4.199015576194627,0,0,0.696890625,0.09551132146269083
166,300,50.535403778321886,0,0,0.6933281250000001,0.09330591196815173
167,270,41.48022272262964,0,0,0.690121875,0.09511614084519722
168,86,7.107504900928726,0,0,0.689100625,0.0868156928525761
169,131,10.881040082278249,0,0,0.6875450000000001,0.09110521772549353
170,52,-2.0293121259838114,0,0,0.6869275,0.08865377464546607
171,138,14.65878869869557,0,0,0.68528875,0.09326252546431361
172,133,24.97963542477886,0,0,0.6837093750000001,0.09354295104013798
173,138,17.780972454788703,0,0,0.682070625,0.08979809296357891
174,83,-1.7060152951012584,0,0,0.6810849999999999,0.08455012435744326
175,300,49.82904111875027,0,0,0.6775225,0.09186410718907913
176,88,-2.3017922335106613,0,0,0.6764775000000001,0.09384120734069835
177,300,103.96286927022561,29,1,0.672915,0.09568664920826753
178,58,-1.470491201073485,0,0,0.67222625,0.09289039241085792
179,40,-3.136386928952759,0,0,0.67175125,0.09166362509131432
180,300,86.04404989872941,26,1,0.66818875,0.09556638843690356
181,54,-1.357761117129522,0,0,0.6675475,0.10061847908353364
182,117,15.130679672712322,0,0,0.6661581249999999,0.10811952113086341
183,102,0.26868323633265323,0,0,0.664946875,0.09358212640326397
184,129,23.543519964252003,0,0,0.6634150000000001,0.10090737532853156
185,157,10.41709062130844,0,0,0.6615506250000001,0.09860016085254918
186,179,11.856764212163279,0,0,0.659425,0.09923218261429717
187,144,9.51812247299883,0,0,0.657715,0.09839974566259319
188,105,12.719927342156929,0,0,0.656468125,0.10078306968013445
189,269,50.413982590983615,0,0,0.6532737500000001,0.09981682072618638
190,69,1.038477477401674,0,0,0.652454375,0.09980147866451222
191,240,40.85566141448669,0,0,0.649604375,0.10382250947877765
192,196,36.650171782226465,0,0,0.647276875,0.10346223647725217
193,300,66.900185486743,0,0,0.6437143750000001,0.10347610145807266
194,300,41.24162102012912,0,0,0.640151875,0.10948305750886599
195,148,31.60597136959103,0,0,0.6383943750000001,0.10930040216929204
196,250,59.519751376965864,0,0,0.635425625,0.10571290506422519
197,33,-3.25948373939846,0,0,0.6350337500000001,0.11145560601443956
198,212,20.380807671799214,0,0,0.6325162500000001,0.10847449197240595
199,190,30.751242106204902,0,0,0.63026,0.1086152679826084
200,163,13.010813679719092,0,0,0.628324375,0.10840067498248779
201,28,-3.4801886662190724,0,0,0.627991875,0.10911340559167522
202,214,46.01262912593057,0,0,0.625450625,0.11413379584517434
203,75,1.7563400168304755,0,0,0.62456,0.11102649082740147
204,70,1.537943007782287,0,0,0.6237287499999999,0.11410329682486398
205,115,2.7945882920234597,0,0,0.622363125,0.10666757054303004
206,226,15.825352067223442,0,0,0.619679375,0.11220755350602939
207,217,66.33484528997522,7,1,0.6171025,0.12214494352379153
208,244,44.062392144776716,0,0,0.614205,0.11910793620360191
209,111,7.052375077833621,0,0,0.612886875,0.11941101714163213
210,106,3.0494527454301643,0,0,0.611628125,0.11661919287212615
211,210,17.177834957979176,0,0,0.609134375,0.11965381717752843
212,101,2.42731114491394,0,0,0.607935,0.12254021751998674
213,212,23.564609009966112,0,0,0.6054174999999999,0.12595058432868067
214,200,34.99799828959133,0,0,0.6030425,0.13209125630557536
215,35,-3.105603833291395,0,0,0.6026268750000001,0.12533578840749604
216,142,13.900250416770906,0,0,0.600940625,0.12994269877147507
217,126,-1.395158624246939,0,0,0.599444375,0.12675259903901154
218,70,-2.4790556391322163,0,0,0.598613125,0.12954153844288419
219,167,30.206528918145118,0,0,0.59663,0.1299821224264399
220,94,0.2631210675174467,0,0,0.5955137500000001,0.13435419466584286
221,143,20.724119813017012,0,0,0.593815625,0.1237852082854801
222,80,3.7243571272972886,0,0,0.592865625,0.12625265307724476
223,300,107.83009314450854,21,1,0.589303125,0.13065537452697754
224,300,90.27731226507734,14,1,0.585740625,0.1322771274174253
225,197,26.0277806303627,0,0,0.5834012500000001,0.13387314084595836
226,154,12.558068954752716,0,0,0.5815725,0.13775090416046706
227,88,5.48069649794948,0,0,0.5805275000000001,0.14136555342173035
228,55,-0.7168169181960753,0,0,0.5798743749999999,0.1432874996553768
229,100,-1.7228446411852731,0,0,0.578686875,0.13884995505213737
230,163,32.69889685816527,0,0,0.57675125,0.1394156338475599
231,93,6.44656441772007,0,0,0.575646875,0.13644759012486346
232,94,1.5865951071010302,0,0,0.574530625,0.1380610054636255
233,177,33.53236520924865,0,0,0.57242875,0.14083955493771425
234,80,-0.30709017612448264,0,0,0.57147875,0.15309880226850509
235,100,1.8166667148210625,0,0,0.57029125,0.1504980754852295
236,197,28.661516379987106,0,0,0.567951875,0.15303144522654225
237,120,2.3166691905445793,0,0,0.566526875,0.1410829147323966
238,101,5.294641577778313,0,0,0.5653275,0.1396879401832524
239,245,97.18218470862449,30,1,0.562418125,0.14978260215447872
240,192,17.702924890175808,0,0,0.560138125,0.1476181090110913
241,232,40.77882132164135,0,0,0.5573831250000001,0.15145604929019665
242,179,47.24659493579939,0,0,0.5552575,0.1535248953287162
243,88,2.1687504934043575,0,0,0.5542125,0.14829338426617059
244,141,11.486579582476212,0,0,0.5525381250000001,0.15398730696938562
245,267,81.26414046638358,0,0,0.5493675,0.14616529361697173
