episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,32,1,0.10666666666666667,0.47840254165181106
2,300,116,1,0.38666666666666666,0.8399467237422851
3,300,200,1,0.6666666666666666,1.0703569881264157
4,300,0,0,0.0,0.11280216367022992
5,300,0,0,0.0,0.2581001062674893
6,300,0,0,0.0,0.28250635895743686
7,300,51,1,0.17,0.5306242010728256
8,300,113,1,0.37666666666666665,0.7658934839804773
9,300,0,0,0.0,0.25319532236240333
10,300,0,0,0.0,0.21693069648804672
11,300,174,1,0.58,0.9799801479713378
12,300,139,1,0.4633333333333333,0.8762719769271706
13,300,0,0,0.0,0.18069864538057293
14,300,0,0,0.0,0.09539275656140649
15,300,0,0,0.0,0.306306931867433
16,300,46,1,0.15333333333333332,0.5219423990007452
17,300,0,0,0.0,0.25553495545760535
18,300,125,1,0.4166666666666667,0.8100790142727399
19,300,93,1,0.31,0.7318139352295548
20,300,72,1,0.24,0.6850511575779155
21,300,0,0,0.0,0.21835453558685403
22,300,154,1,0.5133333333333333,0.902960793403917
23,300,0,0,0.0,0.27356450078507494
24,300,111,1,0.37,0.7721815033195752
25,300,164,1,0.5466666666666666,0.9638251984013277
26,300,73,1,0.24333333333333335,0.6437761634428266
27,300,0,0,0.0,0.2921729847217959
28,300,0,0,0.0,0.23928570706326086
29,300,206,1,0.6866666666666666,1.101832859023447
30,300,199,1,0.6633333333333333,1.0486533790773482
31,300,0,0,0.0,0.2172331772468815
32,300,163,1,0.5433333333333333,0.9963391091742659
33,300,42,1,0.14,0.5204088599236851
34,300,171,1,0.57,1.02802899799013
35,300,54,1,0.18,0.6039282482454835
36,300,144,1,0.48,0.9030569614297904
37,300,0,0,0.0,0.33195692270167115
38,300,57,1,0.19,0.5660094369635572
39,300,60,1,0.2,0.5878205568291258
40,300,0,0,0.0,0.34409151655203224
41,300,0,0,0.0,0.21162828032963318
42,300,0,0,0.0,0.11535341127122427
43,300,7,1,0.023333333333333334,0.3295009433923866
44,300,202,1,0.6733333333333333,1.1036006026580358
45,300,0,0,0.0,0.3395787954640295
46,300,0,0,0.0,0.22057937066364786
47,300,0,0,0.0,0.3398699111366978
48,300,18,1,0.06,0.4713877991983828
49,300,154,1,0.5133333333333333,0.8978980328266749
50,300,23,1,0.07666666666666666,0.3664625178105185
51,300,0,0,0.0,0.1652472601254266
