episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
1,194,9.785202695283319,0,0,0.99769625,0.0
2,284,77.08274165148622,21,1,0.99432375,0.0
3,169,40.34382440254698,0,0,0.992316875,0.0
4,261,76.61759611504516,16,1,0.9892175,0.0
5,64,-0.28572166536380994,0,0,0.9884575,0.0
6,77,0.8936157281659947,0,0,0.987543125,0.0
7,300,59.900900450154474,0,0,0.983980625,0.0
8,190,22.335420445741207,0,0,0.981724375,0.0
9,119,1.3243326315760289,0,0,0.98031125,0.0
10,264,40.75231555261962,0,0,0.97717625,0.0
11,158,13.651680270351761,0,0,0.9753000000000001,0.0
12,191,53.936946743229456,0,0,0.973031875,0.0
13,57,-2.6016472283671668,0,0,0.972355,0.0
14,119,5.195892000632815,0,0,0.970941875,0.0
15,234,84.91578450590602,30,1,0.968163125,0.0
16,196,29.195381466405234,0,0,0.965835625,0.0
17,230,14.480650985553432,0,0,0.963104375,0.0
18,220,75.49967844596625,19,1,0.960491875,0.0
19,155,19.77814998699776,0,0,0.95865125,0.0
20,300,54.88322282430915,0,0,0.95508875,0.0
21,116,-1.3175442614646475,0,0,0.95371125,0.0
22,125,5.2476489857375,0,0,0.952226875,0.0
23,244,59.903957977319706,0,0,0.949329375,0.0
24,104,10.740874229518788,0,0,0.948094375,0.0
25,142,17.717056015603966,0,0,0.946408125,0.0
26,300,51.17904114652895,0,0,0.942845625,0.0
27,56,-0.7281449923418739,0,0,0.942180625,0.0
28,67,-1.605749596902767,0,0,0.941385,0.0
29,189,19.116771097057942,0,0,0.9391406250000001,0.036091250472790784
30,206,34.20800161969605,0,0,0.936694375,0.028314701962461063
31,173,15.061557735098445,0,0,0.93464,0.02761575644041783
32,113,13.93490763909151,0,0,0.933298125,0.027978659887690986
33,130,16.972248312721323,0,0,0.931754375,0.024154822156728747
34,171,41.11969068262871,0,0,0.92972375,0.024400678948003646
35,181,45.457525698825485,0,0,0.9275743750000001,0.027988793942639964
36,187,68.2377538208945,27,1,0.92535375,0.027873844977214256
37,177,9.688136450769735,0,0,0.923251875,0.026331205998999883
38,300,74.24888499793197,19,1,0.919689375,0.025939284131163733
39,199,63.93644235386831,14,1,0.91732625,0.024921231424896953
40,259,72.645486910603,0,0,0.914250625,0.027814973378329246
41,125,2.16319560235294,0,0,0.91276625,0.026681005460210145
42,243,37.87539765058291,0,0,0.909880625,0.02339443518687231
43,56,-1.024020929005681,0,0,0.909215625,0.02670853716491755
44,138,14.751424332339976,0,0,0.907576875,0.025129288910344865
45,116,4.057305494137689,0,0,0.906199375,0.02492237210440337
46,91,-0.8513421138505786,0,0,0.90511875,0.0262677491895834
47,300,63.426950168110196,0,0,0.9015562500000001,0.028054922809824346
48,120,3.8304491619928474,0,0,0.90013125,0.025476331556759154
