episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,34,1,0.11333333333333333,0.4927376980554402
2,300,83,1,0.27666666666666667,0.7167492539140065
3,300,159,1,0.53,0.9872079886497308
4,300,0,0,0.0,0.16550723161462103
5,300,0,0,0.0,0.2006089413595914
6,300,0,0,0.0,0.3444535207755154
7,300,0,0,0.0,0.36399796851887056
8,300,33,1,0.11,0.5704316458129101
9,300,0,0,0.0,0.17044359149987784
10,300,0,0,0.0,0.1549546840893417
11,300,131,1,0.43666666666666665,0.876062225353528
12,300,143,1,0.4766666666666667,0.8937761933051481
13,300,0,0,0.0,0.1467132421974696
14,300,8,1,0.02666666666666667,0.316360597550304
15,300,0,0,0.0,0.3443430598393154
16,300,56,1,0.18666666666666668,0.5303958488693593
17,300,0,0,0.0,0.06277437454953103
18,300,7,1,0.023333333333333334,0.4374917676050391
19,300,0,0,0.0,0.4024662052175579
20,300,0,0,0.0,0.47760406199636246
21,300,40,1,0.13333333333333333,0.4414119599189272
22,300,148,1,0.49333333333333335,0.855814615268
23,300,0,0,0.0,0.2995028531456547
24,300,101,1,0.33666666666666667,0.7579072210244097
25,300,200,1,0.6666666666666666,1.0790096558193358
26,300,23,1,0.07666666666666666,0.44548792504339096
27,300,0,0,0.0,0.23812835321151327
28,300,0,0,0.0,0.2035558299254918
29,300,151,1,0.5033333333333333,0.9575408892281968
30,300,105,1,0.35,0.7851046834420907
31,300,0,0,0.0,0.07161612622827969
32,300,210,1,0.7,1.0735958683031435
33,300,33,1,0.11,0.49563271780183943
34,300,245,1,0.8166666666666667,1.2064704435619837
35,300,95,1,0.31666666666666665,0.7526382021719339
36,300,188,1,0.6266666666666667,1.0456181908089888
37,300,59,1,0.19666666666666666,0.5539281473019372
38,300,93,1,0.31,0.687213383690927
39,300,91,1,0.30333333333333334,0.6453001345036835
40,300,0,0,0.0,0.26114474155781864
41,300,0,0,0.0,0.19580727342651416
42,300,0,0,0.0,0.28607348785428044
43,300,0,0,0.0,0.09943365925796574
44,300,203,1,0.6766666666666666,1.0717837299131638
45,300,37,1,0.12333333333333334,0.4696776681652989
46,300,0,0,0.0,0.15896176712731036
47,300,33,1,0.11,0.4625657024844681
48,300,108,1,0.36,0.7311061853852511
49,300,98,1,0.32666666666666666,0.7584192409614389
50,300,0,0,0.0,0.2732350351571396
51,300,0,0,0.0,0.10286249587863192
52,300,55,1,0.18333333333333332,0.5124840311059468
53,300,247,1,0.8233333333333334,1.194064300878775
54,300,134,1,0.44666666666666666,0.8186238884444744
55,300,6,1,0.02,0.3277219036667241
56,300,0,0,0.0,0.2922101370487025
57,300,0,0,0.0,0.29582124971454316
58,300,189,1,0.63,1.0463269153064985
59,300,120,1,0.4,0.7877589189225053
60,300,107,1,0.3566666666666667,0.731510064592017
61,300,98,1,0.32666666666666666,0.6964140614796646
62,300,0,0,0.0,0.30678768821315605
63,300,6,1,0.02,0.3905486477893814
64,300,0,0,0.0,0.21326157422684852
65,300,170,1,0.5666666666666667,0.9966298899987915
66,300,0,0,0.0,0.20696528525642469
67,300,110,1,0.36666666666666664,0.7698778825659195
68,300,95,1,0.31666666666666665,0.6998790489288226
69,300,81,1,0.27,0.5932474724109764
70,300,126,1,0.42,0.7914254175800465
71,300,177,1,0.59,1.0195683741179298
72,300,0,0,0.0,0.1762352415721461
73,300,125,1,0.4166666666666667,0.7469615434641241
74,300,0,0,0.0,0.2084073715204284
75,300,229,1,0.7633333333333333,1.1717625785496144
76,300,0,0,0.0,0.2611696484436014
77,300,0,0,0.0,0.333908332850515
78,300,131,1,0.43666666666666665,0.8106914361166664
79,300,0,0,0.0,0.08931367859341614
80,300,0,0,0.0,0.08463727936120291
81,300,108,1,0.36,0.7582156580464815
82,300,40,1,0.13333333333333333,0.40154522759954675
83,300,157,1,0.5233333333333333,0.9050083031338212
84,300,86,1,0.2866666666666667,0.6133862738038811
85,300,204,1,0.68,1.0838693437862739
86,300,57,1,0.19,0.5247888239441885
87,300,8,1,0.02666666666666667,0.43957741124839267
88,300,139,1,0.4633333333333333,0.84770104226049
89,300,0,0,0.0,0.3920952432952484
90,300,134,1,0.44666666666666666,0.8191888619217028
91,300,166,1,0.5533333333333333,0.9251785579921414
92,300,0,0,0.0,0.11657422031017589
93,300,0,0,0.0,0.18203670373089276
94,300,129,1,0.43,0.8240355100144182
95,300,85,1,0.2833333333333333,0.6503891649336728
96,300,0,0,0.0,0.3404131709631273
97,300,69,1,0.23,0.596194507874267
98,300,0,0,0.0,0.2856864984968294
99,300,27,1,0.09,0.43002605473795463
100,300,64,1,0.21333333333333335,0.49305950635241447
101,300,94,1,0.31333333333333335,0.6223244727028282
102,300,198,1,0.66,1.0626940806874432
103,300,141,1,0.47,0.8594775897423725
104,300,65,1,0.21666666666666667,0.5374087965370308
105,300,68,1,0.22666666666666666,0.5118423894930748
106,300,0,0,0.0,0.22871241585454286
107,300,54,1,0.18,0.47772117729574337
108,300,126,1,0.42,0.7539127302622017
109,300,104,1,0.3466666666666667,0.6811278088932741
110,300,0,0,0.0,0.26358147027423534
111,300,213,1,0.71,1.1111312725161786
112,300,237,1,0.79,1.1905159932232923
113,300,237,1,0.79,1.2247117507056
114,300,7,1,0.023333333333333334,0.32092088230408383
115,300,45,1,0.15,0.4769198963023136
116,300,124,1,0.41333333333333333,0.8022962018882202
117,300,0,0,0.0,0.1213864759729955
118,300,49,1,0.16333333333333333,0.4591425251961787
119,300,0,0,0.0,0.2600785307579243
120,300,0,0,0.0,0.26851953951951396
121,300,126,1,0.42,0.7615308634947126
122,300,0,0,0.0,0.08243396315328871
123,300,0,0,0.0,0.14502863312430658
124,300,70,1,0.23333333333333334,0.5488679860826003
125,300,2,1,0.006666666666666667,0.2817923897971683
126,300,201,1,0.67,1.081692643933027
127,300,232,1,0.7733333333333333,1.1705286448637295
128,300,0,0,0.0,0.34099626134773614
129,300,173,1,0.5766666666666667,0.9827649721581246
130,300,120,1,0.4,0.7407696302940666
131,300,50,1,0.16666666666666666,0.481577792188058
132,300,120,1,0.4,0.8368236638088985
133,300,33,1,0.11,0.3629634710516516
134,300,28,1,0.09333333333333334,0.35355079958452285
135,300,91,1,0.30333333333333334,0.6607993067944088
136,300,221,1,0.7366666666666667,1.1599670505452133
137,300,9,1,0.03,0.2614805089623213
138,300,162,1,0.54,0.9013144809150172
139,300,147,1,0.49,0.8857532957121831
140,300,146,1,0.4866666666666667,0.827897125925499
141,300,0,0,0.0,0.206990600865245
142,300,121,1,0.4033333333333333,0.8574328495479695
143,300,180,1,0.6,0.9791493153949964
144,300,0,0,0.0,0.09543236469074032
145,300,125,1,0.4166666666666667,0.8337670022336349
146,300,37,1,0.12333333333333334,0.3965474100841036
147,300,36,1,0.12,0.39664064541547345
148,300,115,1,0.38333333333333336,0.7265904680918734
149,300,118,1,0.3933333333333333,0.8350311027735499
150,300,137,1,0.45666666666666667,0.8885469056395967
151,300,178,1,0.5933333333333334,0.9980627086754058
152,300,206,1,0.6866666666666666,1.1070202997248713
153,300,40,1,0.13333333333333333,0.45566037877544846
154,300,133,1,0.44333333333333336,0.826023156327147
155,300,205,1,0.6833333333333333,1.094065076633647
156,300,207,1,0.69,1.111474094467589
157,300,234,1,0.78,1.1843064785997768
158,300,117,1,0.39,0.6880671152980711
159,300,74,1,0.24666666666666667,0.5416669438086031
160,300,136,1,0.4533333333333333,0.7948471700170677
161,300,135,1,0.45,0.8095341784718387
162,300,272,1,0.9066666666666666,1.3175387184930936
163,300,126,1,0.42,0.7742734026617281
164,300,197,1,0.6566666666666666,1.0617858092895518
165,300,176,1,0.5866666666666667,0.9550993282837282
166,300,155,1,0.5166666666666667,0.8410923392502954
167,300,145,1,0.48333333333333334,0.9488903866085161
168,300,204,1,0.68,1.0694195521801901
169,300,165,1,0.55,0.9332846940663277
170,300,113,1,0.37666666666666665,0.6902643136213632
171,300,219,1,0.73,1.1044764634104194
172,300,210,1,0.7,1.088324640355076
173,300,245,1,0.8166666666666667,1.1601894607095844
174,300,108,1,0.36,0.6622266674785351
175,300,114,1,0.38,0.7892154740763624
176,300,0,0,0.0,0.09154172963591775
177,300,181,1,0.6033333333333334,1.0067436487644554
178,300,0,0,0.0,0.22403135858443543
179,300,108,1,0.36,0.6485917170193936
180,300,0,0,0.0,0.46035950152590566
181,300,121,1,0.4033333333333333,0.7247365751125795
182,300,226,1,0.7533333333333333,1.1467800118161935
183,300,80,1,0.26666666666666666,0.5677116743062705
184,300,249,1,0.83,1.2110769002547355
185,300,176,1,0.5866666666666667,1.0124747378071666
186,300,162,1,0.54,0.9294612781403719
187,300,170,1,0.5666666666666667,0.9759174354034355
188,300,184,1,0.6133333333333333,1.049172310568619
189,300,168,1,0.56,0.9496134076083032
190,300,0,0,0.0,0.11328080029799388
191,300,109,1,0.36333333333333334,0.6653891469552276
192,300,198,1,0.66,1.0168378193430077
193,300,181,1,0.6033333333333334,0.9798050865925135
194,300,150,1,0.5,0.8112945218746779
195,300,188,1,0.6266666666666667,1.0577296035816426
196,300,110,1,0.36666666666666664,0.7264978569773705
197,300,83,1,0.27666666666666667,0.5382256718934768
198,300,176,1,0.5866666666666667,0.9400025700615025
199,300,171,1,0.57,0.9394693969682489
200,300,60,1,0.2,0.5890583671435846
201,300,20,1,0.06666666666666667,0.43316566195480327
202,300,196,1,0.6533333333333333,1.0366235205679717
203,300,148,1,0.49333333333333335,0.8187358657279082
204,300,144,1,0.48,0.8655275170698786
205,300,75,1,0.25,0.5411091719249282
206,300,102,1,0.34,0.6765824722837191
207,300,155,1,0.5166666666666667,0.9257333403105783
208,300,149,1,0.49666666666666665,0.827731843339417
209,300,202,1,0.6733333333333333,1.0479347731586761
210,300,100,1,0.3333333333333333,0.7157169000795963
211,300,207,1,0.69,1.0674566082930932
212,300,179,1,0.5966666666666667,0.9564769746748564
