episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,0,0,0.0,0.2300759522488266
2,300,0,0,0.0,0.42856943058107294
3,300,0,0,0.0,0.4207403719068656
4,300,0,0,0.0,0.1142542962521068
5,300,0,0,0.0,0.1504664833695838
6,300,0,0,0.0,0.1335384808237528
7,300,0,0,0.0,0.1424852234652547
8,300,0,0,0.0,0.2650206898933954
9,300,0,0,0.0,0.12137938880652704
10,300,0,0,0.0,0.11563762765018817
11,300,0,0,0.0,0.3061946218454611
12,300,0,0,0.0,0.3440806724576851
13,300,0,0,0.0,0.07245547869764013
14,300,0,0,0.0,0.18019590954642056
15,300,0,0,0.0,0.18533446638165113
16,300,0,0,0.0,0.295205798954842
17,300,0,0,0.0,0.11233125049879061
18,300,0,0,0.0,0.3159713543958373
19,300,0,0,0.0,0.22086120759127673
20,300,0,0,0.0,0.35797914969945
21,300,0,0,0.0,0.08071067278754017
22,300,0,0,0.0,0.22683577176810446
23,300,0,0,0.0,0.21361320120906016
24,300,0,0,0.0,0.2796126355289068
25,300,0,0,0.0,0.3477337122279979
26,300,0,0,0.0,0.18020235335410642
27,300,0,0,0.0,0.08317829171967196
28,300,0,0,0.0,0.09434247678244176
29,300,0,0,0.0,0.40117991699002964
30,300,0,0,0.0,0.4243873256381452
31,300,0,0,0.0,0.17121565306852532
32,300,0,0,0.0,0.2617737006583892
33,300,0,0,0.0,0.4509567829949057
34,300,117,1,0.39,0.8685069825429906
35,300,22,1,0.07333333333333333,0.5763188787935536
36,300,0,0,0.0,0.4509912253623542
37,300,0,0,0.0,0.2908942817029142
38,300,0,0,0.0,0.368182689629827
39,300,0,0,0.0,0.30311610404802747
40,300,0,0,0.0,0.13425367168728444
41,300,0,0,0.0,0.08213890621204244
42,300,0,0,0.0,0.18560648100917687
43,300,0,0,0.0,0.11435300977455322
44,300,0,0,0.0,0.301070102004107
45,300,0,0,0.0,0.21634034061771568
46,300,0,0,0.0,0.1359280294669537
47,300,0,0,0.0,0.10266717754190563
48,300,0,0,0.0,0.1528978495912438
49,300,0,0,0.0,0.18624343621984113
50,300,0,0,0.0,0.08223685914590013
51,262,0,0,0.0,0.03734754354018551
52,300,0,0,0.0,0.14701608120850146
53,300,0,0,0.0,0.43700780456478755
54,300,0,0,0.0,0.405121797569712
55,300,0,0,0.0,0.15778105388089234
56,300,0,0,0.0,0.08556942527460616
57,300,0,0,0.0,0.23713092507652134
58,300,0,0,0.0,0.27815694654208034
59,300,0,0,0.0,0.26648494818517343
60,300,0,0,0.0,0.16190281273688462
61,300,0,0,0.0,0.19773738144842049
62,300,0,0,0.0,0.12709183569787244
63,300,0,0,0.0,0.2394725874845506
64,300,0,0,0.0,0.14517988643438454
65,300,0,0,0.0,0.5380191440305067
66,300,0,0,0.0,0.20308541991243942
67,300,0,0,0.0,0.33352206932679723
68,300,0,0,0.0,0.32062400540942204
69,300,0,0,0.0,0.18553928285654414
70,300,0,0,0.0,0.42983578532941125
71,300,0,0,0.0,0.2538936160879376
72,184,0,0,0.0,0.05141150499224007
73,300,0,0,0.0,0.19995067118069515
74,286,0,0,0.0,0.04105412743038221
75,300,0,0,0.0,0.4094959310996396
76,300,0,0,0.0,0.10544593323982397
77,300,0,0,0.0,0.20338295671020334
78,300,77,1,0.25666666666666665,0.6633294698204703
79,199,0,0,0.0,0.037704188233919717
80,300,0,0,0.0,0.07913483886345914
81,300,0,0,0.0,0.24115543529449604
